Resuming, 17 valid existing

=== S7: 50 scenarios ===
  S8-C_seed02.pkl: b1_f1=484 f3=0.38 | b3_f1=320 f3=0.21 (0.0s/0.0s)
  S8-C_seed03.pkl: b1_f1=525 f3=0.39 | b3_f1=395 f3=0.25 (0.0s/0.0s)
  S8-C_seed04.pkl: b1_f1=594 f3=0.38 | b3_f1=400 f3=0.23 (0.0s/0.0s)
  S8-C_seed05.pkl: b1_f1=519 f3=0.38 | b3_f1=341 f3=0.20 (0.0s/0.0s)
  S8-C_seed06.pkl: b1_f1=467 f3=0.34 | b3_f1=311 f3=0.19 (0.1s/0.0s)
  S8-C_seed07.pkl: b1_f1=512 f3=0.35 | b3_f1=359 f3=0.31 (0.0s/0.0s)
  S8-C_seed08.pkl: b1_f1=569 f3=0.41 | b3_f1=341 f3=0.28 (0.0s/0.0s)
  S8-C_seed09.pkl: b1_f1=500 f3=0.40 | b3_f1=325 f3=0.20 (0.1s/0.0s)
  S8-D_seed00.pkl: b1_f1=468 f3=0.45 | b3_f1=260 f3=0.20 (0.0s/0.0s)
  S8-D_seed01.pkl: b1_f1=543 f3=0.48 | b3_f1=298 f3=0.18 (0.0s/0.0s)
  S8-D_seed02.pkl: b1_f1=448 f3=0.48 | b3_f1=256 f3=0.22 (0.0s/0.0s)
  S8-D_seed03.pkl: b1_f1=472 f3=0.45 | b3_f1=266 f3=0.26 (0.0s/0.0s)
  S8-D_seed04.pkl: b1_f1=494 f3=0.47 | b3_f1=253 f3=0.18 (0.0s/0.0s)
  S8-D_seed05.pkl: b1_f1=405 f3=0.45 | b3_f1=270 f3=0.25 (0.0s/0.0s)
  S8-D_seed06.pkl: b1_f1=505 f3=0.46 | b3_f1=256 f3=0.20 (0.0s/0.0s)
  S8-D_seed07.pkl: b1_f1=604 f3=0.48 | b3_f1=279 f3=0.19 (0.0s/0.0s)
  S8-D_seed08.pkl: b1_f1=459 f3=0.46 | b3_f1=250 f3=0.19 (0.0s/0.0s)
  S8-D_seed09.pkl: b1_f1=568 f3=0.50 | b3_f1=312 f3=0.26 (0.0s/0.0s)
  S8-E_seed00.pkl: b1_f1=828 f3=0.44 | b3_f1=423 f3=0.20 (0.0s/0.0s)
  S8-E_seed01.pkl: b1_f1=811 f3=0.43 | b3_f1=438 f3=0.20 (0.0s/0.0s)
  S8-E_seed02.pkl: b1_f1=859 f3=0.44 | b3_f1=446 f3=0.25 (0.0s/0.0s)
  S8-E_seed03.pkl: b1_f1=843 f3=0.43 | b3_f1=421 f3=0.20 (0.0s/0.0s)
  S8-E_seed04.pkl: b1_f1=863 f3=0.48 | b3_f1=471 f3=0.21 (0.1s/0.0s)
  S8-E_seed05.pkl: b1_f1=812 f3=0.43 | b3_f1=457 f3=0.21 (0.1s/0.0s)
  S8-E_seed06.pkl: b1_f1=859 f3=0.45 | b3_f1=440 f3=0.20 (0.0s/0.0s)
  S8-E_seed07.pkl: b1_f1=849 f3=0.44 | b3_f1=457 f3=0.20 (0.0s/0.0s)
  S8-E_seed08.pkl: b1_f1=814 f3=0.44 | b3_f1=449 f3=0.21 (0.0s/0.0s)
  S8-E_seed09.pkl: b1_f1=779 f3=0.44 | b3_f1=422 f3=0.32 (0.0s/0.0s)

Done. Total 100 entries in D:\hermes\my-workspace\projects\planning paper\papers\single-sat-quality\experiments\results\baselines_S7S8.json
